problem_type,x,y,question,solution
square_mod,805,560,What is 805^2 mod 560?,105
division,479,226,What is 479 // 226?,2
bitwise_and,570,112,What is 570 AND 112?,48
gcd,881,245,What is the GCD of 881 and 245?,1
multiplication,51,140,What is 51 times 140 mod 1000?,140
bitwise_or,395,474,What is 395 OR 474?,475
modulo,639,358,What is 639 mod 358?,281
bitwise_and,46,875,What is 46 AND 875?,42
lcm,598,583,What is the LCM of 598 and 583 mod 1000?,634
bitwise_xor,210,659,What is 210 XOR 659?,577
square_mod,693,95,What is 693^2 mod 95?,24
lcm,442,421,What is the LCM of 442 and 421 mod 1000?,82
modulo,781,371,What is 781 mod 371?,39
bitwise_or,139,420,What is 139 OR 420?,431
addition,922,598,What is 922 plus 598?,1520
gcd,880,897,What is the GCD of 880 and 897?,1
bitwise_xor,215,412,What is 215 XOR 412?,331
division,258,194,What is 258 // 194?,1
bitwise_and,154,676,What is 154 AND 676?,128
addition,292,226,What is 292 plus 226?,518
gcd,911,702,What is the GCD of 911 and 702?,1
lcm,395,264,What is the LCM of 395 and 264 mod 1000?,280
bitwise_or,909,376,What is 909 OR 376?,1021
addition,446,244,What is 446 plus 244?,690
addition,670,599,What is 670 plus 599?,1269
division,742,274,What is 742 // 274?,2
multiplication,343,267,What is 343 times 267 mod 1000?,581
bitwise_or,749,37,What is 749 OR 37?,749
bitwise_xor,737,91,What is 737 XOR 91?,698
lcm,278,855,What is the LCM of 278 and 855 mod 1000?,690
square_mod,807,392,What is 807^2 mod 392?,137
multiplication,75,121,What is 75 times 121 mod 1000?,75
addition,626,168,What is 626 plus 168?,794
bitwise_or,568,87,What is 568 OR 87?,639
addition,474,693,What is 474 plus 693?,1167
gcd,798,26,What is the GCD of 798 and 26?,2
addition,589,670,What is 589 plus 670?,1259
bitwise_or,368,227,What is 368 OR 227?,499
gcd,323,214,What is the GCD of 323 and 214?,1
lcm,297,514,What is the LCM of 297 and 514 mod 1000?,658
square_mod,687,496,What is 687^2 mod 496?,273
lcm,442,395,What is the LCM of 442 and 395 mod 1000?,590
bitwise_and,154,835,What is 154 AND 835?,2
square_mod,960,950,What is 960^2 mod 950?,100
square_mod,806,58,What is 806^2 mod 58?,36
gcd,685,805,What is the GCD of 685 and 805?,5
lcm,189,383,What is the LCM of 189 and 383 mod 1000?,387
addition,972,481,What is 972 plus 481?,1453
division,959,236,What is 959 // 236?,4
multiplication,247,976,What is 247 times 976 mod 1000?,72
gcd,917,46,What is the GCD of 917 and 46?,1
lcm,870,309,What is the LCM of 870 and 309 mod 1000?,610
addition,366,2,What is 366 plus 2?,368
addition,806,67,What is 806 plus 67?,873
gcd,116,27,What is the GCD of 116 and 27?,1
bitwise_or,95,694,What is 95 OR 694?,767
gcd,146,963,What is the GCD of 146 and 963?,1
division,698,674,What is 698 // 674?,1
multiplication,915,174,What is 915 times 174 mod 1000?,210
modulo,733,238,What is 733 mod 238?,19
multiplication,179,483,What is 179 times 483 mod 1000?,457
bitwise_and,565,700,What is 565 AND 700?,564
addition,454,410,What is 454 plus 410?,864
lcm,934,98,What is the LCM of 934 and 98 mod 1000?,766
multiplication,721,72,What is 721 times 72 mod 1000?,912
addition,683,977,What is 683 plus 977?,1660
addition,643,197,What is 643 plus 197?,840
square_mod,535,47,What is 535^2 mod 47?,42
square_mod,336,58,What is 336^2 mod 58?,28
square_mod,949,762,What is 949^2 mod 762?,679
multiplication,100,411,What is 100 times 411 mod 1000?,100
bitwise_or,479,648,What is 479 OR 648?,991
multiplication,487,641,What is 487 times 641 mod 1000?,167
bitwise_or,436,410,What is 436 OR 410?,446
square_mod,833,685,What is 833^2 mod 685?,669
multiplication,835,713,What is 835 times 713 mod 1000?,355
gcd,566,7,What is the GCD of 566 and 7?,1
addition,129,194,What is 129 plus 194?,323
gcd,571,902,What is the GCD of 571 and 902?,1
multiplication,281,396,What is 281 times 396 mod 1000?,276
bitwise_or,356,742,What is 356 OR 742?,998
gcd,28,374,What is the GCD of 28 and 374?,2
bitwise_and,398,594,What is 398 AND 594?,2
gcd,717,534,What is the GCD of 717 and 534?,3
bitwise_xor,735,545,What is 735 XOR 545?,254
modulo,866,755,What is 866 mod 755?,111
bitwise_and,494,136,What is 494 AND 136?,136
modulo,478,400,What is 478 mod 400?,78
lcm,991,843,What is the LCM of 991 and 843 mod 1000?,413
bitwise_or,432,850,What is 432 OR 850?,1010
multiplication,297,682,What is 297 times 682 mod 1000?,554
division,578,32,What is 578 // 32?,18
multiplication,952,379,What is 952 times 379 mod 1000?,808
gcd,177,72,What is the GCD of 177 and 72?,3
modulo,869,758,What is 869 mod 758?,111
bitwise_or,205,142,What is 205 OR 142?,207
bitwise_and,760,613,What is 760 AND 613?,608
addition,129,400,What is 129 plus 400?,529
division,468,232,What is 468 // 232?,2
square_mod,727,338,What is 727^2 mod 338?,235
bitwise_and,58,414,What is 58 AND 414?,26
division,412,284,What is 412 // 284?,1
lcm,232,394,What is the LCM of 232 and 394 mod 1000?,704
multiplication,420,610,What is 420 times 610 mod 1000?,200
bitwise_and,933,171,What is 933 AND 171?,161
addition,369,452,What is 369 plus 452?,821
bitwise_xor,954,141,What is 954 XOR 141?,823
addition,907,927,What is 907 plus 927?,1834
multiplication,356,467,What is 356 times 467 mod 1000?,252
division,850,450,What is 850 // 450?,1
bitwise_or,872,101,What is 872 OR 101?,877
bitwise_and,613,31,What is 613 AND 31?,5
multiplication,806,84,What is 806 times 84 mod 1000?,704
bitwise_xor,138,523,What is 138 XOR 523?,641
bitwise_xor,830,17,What is 830 XOR 17?,815
lcm,455,98,What is the LCM of 455 and 98 mod 1000?,370
bitwise_or,536,530,What is 536 OR 530?,538
modulo,253,160,What is 253 mod 160?,93
multiplication,320,884,What is 320 times 884 mod 1000?,880
gcd,473,408,What is the GCD of 473 and 408?,1
modulo,564,175,What is 564 mod 175?,39
multiplication,745,63,What is 745 times 63 mod 1000?,935
bitwise_or,296,426,What is 296 OR 426?,426
addition,764,210,What is 764 plus 210?,974
multiplication,87,559,What is 87 times 559 mod 1000?,633
modulo,603,338,What is 603 mod 338?,265
gcd,772,966,What is the GCD of 772 and 966?,2
modulo,661,270,What is 661 mod 270?,121
bitwise_xor,370,369,What is 370 XOR 369?,3
bitwise_and,48,4,What is 48 AND 4?,0
bitwise_xor,585,289,What is 585 XOR 289?,872
division,597,535,What is 597 // 535?,1
lcm,118,745,What is the LCM of 118 and 745 mod 1000?,910
division,937,428,What is 937 // 428?,2
lcm,472,553,What is the LCM of 472 and 553 mod 1000?,16
bitwise_xor,294,726,What is 294 XOR 726?,1008
bitwise_or,530,515,What is 530 OR 515?,531
addition,224,652,What is 224 plus 652?,876
multiplication,692,115,What is 692 times 115 mod 1000?,580
square_mod,36,33,What is 36^2 mod 33?,9
gcd,766,500,What is the GCD of 766 and 500?,2
square_mod,686,433,What is 686^2 mod 433?,358
square_mod,466,458,What is 466^2 mod 458?,64
bitwise_xor,968,787,What is 968 XOR 787?,219
modulo,725,412,What is 725 mod 412?,313
bitwise_or,334,886,What is 334 OR 886?,894
addition,152,165,What is 152 plus 165?,317
lcm,291,534,What is the LCM of 291 and 534 mod 1000?,798
bitwise_or,512,969,What is 512 OR 969?,969
lcm,269,510,What is the LCM of 269 and 510 mod 1000?,190
multiplication,897,184,What is 897 times 184 mod 1000?,48
division,894,173,What is 894 // 173?,5
bitwise_or,739,185,What is 739 OR 185?,763
bitwise_and,78,350,What is 78 AND 350?,78
square_mod,697,134,What is 697^2 mod 134?,59
addition,160,529,What is 160 plus 529?,689
bitwise_and,318,738,What is 318 AND 738?,34
multiplication,823,782,What is 823 times 782 mod 1000?,586
modulo,609,451,What is 609 mod 451?,158
modulo,701,572,What is 701 mod 572?,129
lcm,372,637,What is the LCM of 372 and 637 mod 1000?,964
bitwise_or,350,885,What is 350 OR 885?,895
gcd,815,293,What is the GCD of 815 and 293?,1
addition,710,753,What is 710 plus 753?,1463
gcd,388,871,What is the GCD of 388 and 871?,1
bitwise_xor,945,539,What is 945 XOR 539?,426
bitwise_or,751,900,What is 751 OR 900?,1007
square_mod,453,385,What is 453^2 mod 385?,4
square_mod,974,936,What is 974^2 mod 936?,508
multiplication,495,499,What is 495 times 499 mod 1000?,5
bitwise_xor,784,803,What is 784 XOR 803?,51
bitwise_and,425,618,What is 425 AND 618?,40
bitwise_and,686,773,What is 686 AND 773?,516
lcm,805,879,What is the LCM of 805 and 879 mod 1000?,595
addition,334,856,What is 334 plus 856?,1190
gcd,543,35,What is the GCD of 543 and 35?,1
modulo,79,37,What is 79 mod 37?,5
modulo,493,281,What is 493 mod 281?,212
division,556,493,What is 556 // 493?,1
modulo,577,162,What is 577 mod 162?,91
addition,785,451,What is 785 plus 451?,1236
multiplication,454,622,What is 454 times 622 mod 1000?,388
bitwise_or,146,914,What is 146 OR 914?,914
addition,420,772,What is 420 plus 772?,1192
modulo,717,525,What is 717 mod 525?,192
division,538,336,What is 538 // 336?,1
gcd,61,45,What is the GCD of 61 and 45?,1
square_mod,846,635,What is 846^2 mod 635?,71
bitwise_or,523,98,What is 523 OR 98?,619
division,938,331,What is 938 // 331?,2
division,577,463,What is 577 // 463?,1
gcd,476,305,What is the GCD of 476 and 305?,1
square_mod,572,233,What is 572^2 mod 233?,52
lcm,811,277,What is the LCM of 811 and 277 mod 1000?,647
multiplication,507,757,What is 507 times 757 mod 1000?,799
bitwise_or,552,604,What is 552 OR 604?,636
gcd,723,482,What is the GCD of 723 and 482?,241
bitwise_and,689,686,What is 689 AND 686?,672
division,783,515,What is 783 // 515?,1
square_mod,972,699,What is 972^2 mod 699?,435
modulo,930,358,What is 930 mod 358?,214
division,868,331,What is 868 // 331?,2
division,911,701,What is 911 // 701?,1
gcd,740,802,What is the GCD of 740 and 802?,2
square_mod,715,690,What is 715^2 mod 690?,625
gcd,374,663,What is the GCD of 374 and 663?,17
addition,886,888,What is 886 plus 888?,1774
modulo,970,902,What is 970 mod 902?,68
modulo,487,370,What is 487 mod 370?,117
bitwise_or,353,435,What is 353 OR 435?,499
lcm,661,553,What is the LCM of 661 and 553 mod 1000?,533
multiplication,910,9,What is 910 times 9 mod 1000?,190
lcm,899,177,What is the LCM of 899 and 177 mod 1000?,123
lcm,481,44,What is the LCM of 481 and 44 mod 1000?,164
division,736,98,What is 736 // 98?,7
bitwise_or,915,284,What is 915 OR 284?,927
modulo,586,186,What is 586 mod 186?,28
lcm,505,306,What is the LCM of 505 and 306 mod 1000?,530
square_mod,486,213,What is 486^2 mod 213?,192
addition,848,538,What is 848 plus 538?,1386
addition,329,417,What is 329 plus 417?,746
square_mod,547,92,What is 547^2 mod 92?,25
addition,792,397,What is 792 plus 397?,1189
gcd,583,592,What is the GCD of 583 and 592?,1
square_mod,138,135,What is 138^2 mod 135?,9
modulo,986,346,What is 986 mod 346?,294
multiplication,65,314,What is 65 times 314 mod 1000?,410
bitwise_xor,819,894,What is 819 XOR 894?,77
division,950,381,What is 950 // 381?,2
square_mod,440,139,What is 440^2 mod 139?,112
gcd,869,873,What is the GCD of 869 and 873?,1
gcd,380,369,What is the GCD of 380 and 369?,1
bitwise_and,714,25,What is 714 AND 25?,8
multiplication,734,787,What is 734 times 787 mod 1000?,658
division,868,403,What is 868 // 403?,2
bitwise_xor,283,987,What is 283 XOR 987?,704
lcm,108,194,What is the LCM of 108 and 194 mod 1000?,476
gcd,981,770,What is the GCD of 981 and 770?,1
bitwise_and,692,747,What is 692 AND 747?,672
division,916,838,What is 916 // 838?,1
bitwise_xor,657,125,What is 657 XOR 125?,748
division,900,608,What is 900 // 608?,1
multiplication,79,12,What is 79 times 12 mod 1000?,948
square_mod,471,78,What is 471^2 mod 78?,9
modulo,724,32,What is 724 mod 32?,20
lcm,696,694,What is the LCM of 696 and 694 mod 1000?,512
division,912,576,What is 912 // 576?,1
multiplication,188,971,What is 188 times 971 mod 1000?,548
addition,523,421,What is 523 plus 421?,944
division,646,295,What is 646 // 295?,2
gcd,143,132,What is the GCD of 143 and 132?,11
gcd,27,340,What is the GCD of 27 and 340?,1
modulo,811,28,What is 811 mod 28?,27
lcm,666,36,What is the LCM of 666 and 36 mod 1000?,332
bitwise_or,56,296,What is 56 OR 296?,312
multiplication,459,422,What is 459 times 422 mod 1000?,698
bitwise_or,405,349,What is 405 OR 349?,477
multiplication,258,661,What is 258 times 661 mod 1000?,538
square_mod,391,376,What is 391^2 mod 376?,225
modulo,518,146,What is 518 mod 146?,80
division,848,575,What is 848 // 575?,1
addition,330,404,What is 330 plus 404?,734
lcm,423,335,What is the LCM of 423 and 335 mod 1000?,705
gcd,609,80,What is the GCD of 609 and 80?,1
multiplication,129,827,What is 129 times 827 mod 1000?,683
square_mod,291,138,What is 291^2 mod 138?,87
bitwise_or,821,393,What is 821 OR 393?,957
gcd,694,352,What is the GCD of 694 and 352?,2
square_mod,758,619,What is 758^2 mod 619?,132
division,973,433,What is 973 // 433?,2
bitwise_or,41,99,What is 41 OR 99?,107
division,974,870,What is 974 // 870?,1
bitwise_xor,413,48,What is 413 XOR 48?,429
bitwise_or,551,450,What is 551 OR 450?,999
modulo,656,627,What is 656 mod 627?,29
bitwise_and,42,719,What is 42 AND 719?,10
division,652,602,What is 652 // 602?,1
modulo,910,159,What is 910 mod 159?,115
modulo,459,21,What is 459 mod 21?,18
lcm,221,766,What is the LCM of 221 and 766 mod 1000?,286
bitwise_xor,904,183,What is 904 XOR 183?,831
lcm,124,228,What is the LCM of 124 and 228 mod 1000?,68
square_mod,639,465,What is 639^2 mod 465?,51
bitwise_and,80,376,What is 80 AND 376?,80
lcm,318,445,What is the LCM of 318 and 445 mod 1000?,510
gcd,959,100,What is the GCD of 959 and 100?,1
addition,777,470,What is 777 plus 470?,1247
gcd,659,710,What is the GCD of 659 and 710?,1
division,720,264,What is 720 // 264?,2
lcm,447,177,What is the LCM of 447 and 177 mod 1000?,373
modulo,880,729,What is 880 mod 729?,151
lcm,328,435,What is the LCM of 328 and 435 mod 1000?,680
bitwise_and,855,916,What is 855 AND 916?,788
addition,207,741,What is 207 plus 741?,948
modulo,779,15,What is 779 mod 15?,14
bitwise_or,9,541,What is 9 OR 541?,541
bitwise_xor,908,324,What is 908 XOR 324?,712
lcm,350,365,What is the LCM of 350 and 365 mod 1000?,550
division,445,387,What is 445 // 387?,1
modulo,262,119,What is 262 mod 119?,24
bitwise_xor,33,522,What is 33 XOR 522?,555
addition,705,585,What is 705 plus 585?,1290
bitwise_and,367,654,What is 367 AND 654?,14
bitwise_or,697,965,What is 697 OR 965?,1021
lcm,102,558,What is the LCM of 102 and 558 mod 1000?,486
division,849,10,What is 849 // 10?,84
gcd,219,872,What is the GCD of 219 and 872?,1
bitwise_and,157,642,What is 157 AND 642?,128
modulo,877,731,What is 877 mod 731?,146
modulo,413,308,What is 413 mod 308?,105
bitwise_or,371,149,What is 371 OR 149?,503
modulo,893,766,What is 893 mod 766?,127
bitwise_or,779,311,What is 779 OR 311?,831
addition,713,853,What is 713 plus 853?,1566
division,903,376,What is 903 // 376?,2
modulo,900,187,What is 900 mod 187?,152
bitwise_xor,955,799,What is 955 XOR 799?,164
gcd,761,514,What is the GCD of 761 and 514?,1
modulo,556,513,What is 556 mod 513?,43
multiplication,584,283,What is 584 times 283 mod 1000?,272
multiplication,307,606,What is 307 times 606 mod 1000?,42
modulo,105,27,What is 105 mod 27?,24
gcd,349,637,What is the GCD of 349 and 637?,1
lcm,693,208,What is the LCM of 693 and 208 mod 1000?,144
bitwise_and,99,200,What is 99 AND 200?,64
division,715,248,What is 715 // 248?,2
gcd,415,513,What is the GCD of 415 and 513?,1
addition,717,467,What is 717 plus 467?,1184
division,325,113,What is 325 // 113?,2
addition,509,601,What is 509 plus 601?,1110
lcm,390,45,What is the LCM of 390 and 45 mod 1000?,170
square_mod,364,143,What is 364^2 mod 143?,78
square_mod,592,347,What is 592^2 mod 347?,341
division,965,622,What is 965 // 622?,1
gcd,806,90,What is the GCD of 806 and 90?,2
addition,989,93,What is 989 plus 93?,1082
bitwise_and,270,445,What is 270 AND 445?,268
bitwise_xor,125,51,What is 125 XOR 51?,78
lcm,131,516,What is the LCM of 131 and 516 mod 1000?,596
multiplication,519,887,What is 519 times 887 mod 1000?,353
bitwise_xor,588,684,What is 588 XOR 684?,224
addition,375,647,What is 375 plus 647?,1022
addition,21,863,What is 21 plus 863?,884
addition,821,534,What is 821 plus 534?,1355
bitwise_or,341,250,What is 341 OR 250?,511
lcm,672,499,What is the LCM of 672 and 499 mod 1000?,328
division,551,98,What is 551 // 98?,5
division,397,226,What is 397 // 226?,1
gcd,193,435,What is the GCD of 193 and 435?,1
multiplication,191,90,What is 191 times 90 mod 1000?,190
gcd,93,200,What is the GCD of 93 and 200?,1
gcd,248,184,What is the GCD of 248 and 184?,8
multiplication,470,147,What is 470 times 147 mod 1000?,90
bitwise_xor,839,251,What is 839 XOR 251?,956
bitwise_and,689,701,What is 689 AND 701?,689
lcm,803,10,What is the LCM of 803 and 10 mod 1000?,30
modulo,937,849,What is 937 mod 849?,88
gcd,462,33,What is the GCD of 462 and 33?,33
addition,53,781,What is 53 plus 781?,834
addition,216,404,What is 216 plus 404?,620
bitwise_or,663,976,What is 663 OR 976?,983
lcm,75,629,What is the LCM of 75 and 629 mod 1000?,175
modulo,934,816,What is 934 mod 816?,118
multiplication,807,536,What is 807 times 536 mod 1000?,552
bitwise_xor,804,405,What is 804 XOR 405?,689
bitwise_or,520,736,What is 520 OR 736?,744
bitwise_xor,825,299,What is 825 XOR 299?,530
division,303,4,What is 303 // 4?,75
bitwise_xor,442,637,What is 442 XOR 637?,967
modulo,556,113,What is 556 mod 113?,104
square_mod,780,684,What is 780^2 mod 684?,324
addition,901,963,What is 901 plus 963?,1864
lcm,855,799,What is the LCM of 855 and 799 mod 1000?,145
lcm,666,197,What is the LCM of 666 and 197 mod 1000?,202
bitwise_xor,438,100,What is 438 XOR 100?,466
lcm,362,767,What is the LCM of 362 and 767 mod 1000?,654
addition,316,228,What is 316 plus 228?,544
bitwise_or,844,555,What is 844 OR 555?,879
bitwise_and,47,559,What is 47 AND 559?,47
bitwise_or,821,376,What is 821 OR 376?,893
lcm,125,659,What is the LCM of 125 and 659 mod 1000?,375
bitwise_xor,781,416,What is 781 XOR 416?,685
gcd,202,381,What is the GCD of 202 and 381?,1
addition,809,450,What is 809 plus 450?,1259
bitwise_xor,634,163,What is 634 XOR 163?,729
square_mod,165,48,What is 165^2 mod 48?,9
bitwise_or,849,724,What is 849 OR 724?,981
square_mod,793,552,What is 793^2 mod 552?,121
square_mod,811,429,What is 811^2 mod 429?,64
addition,363,516,What is 363 plus 516?,879
bitwise_or,262,869,What is 262 OR 869?,871
lcm,753,605,What is the LCM of 753 and 605 mod 1000?,565
gcd,289,760,What is the GCD of 289 and 760?,1
modulo,792,665,What is 792 mod 665?,127
modulo,841,73,What is 841 mod 73?,38
division,659,206,What is 659 // 206?,3
division,642,402,What is 642 // 402?,1
modulo,471,449,What is 471 mod 449?,22
gcd,693,535,What is the GCD of 693 and 535?,1
modulo,975,898,What is 975 mod 898?,77
lcm,662,444,What is the LCM of 662 and 444 mod 1000?,964
bitwise_xor,303,604,What is 303 XOR 604?,883
bitwise_xor,578,944,What is 578 XOR 944?,498
division,480,268,What is 480 // 268?,1
lcm,282,844,What is the LCM of 282 and 844 mod 1000?,4
gcd,57,204,What is the GCD of 57 and 204?,3
bitwise_and,459,999,What is 459 AND 999?,451
addition,21,453,What is 21 plus 453?,474
bitwise_or,460,685,What is 460 OR 685?,1005
modulo,974,98,What is 974 mod 98?,92
square_mod,593,172,What is 593^2 mod 172?,81
bitwise_or,45,910,What is 45 OR 910?,943
bitwise_or,982,916,What is 982 OR 916?,982
addition,144,945,What is 144 plus 945?,1089
bitwise_and,58,643,What is 58 AND 643?,2
addition,880,357,What is 880 plus 357?,1237
division,104,9,What is 104 // 9?,11
modulo,434,247,What is 434 mod 247?,187
lcm,566,417,What is the LCM of 566 and 417 mod 1000?,22
bitwise_and,56,650,What is 56 AND 650?,8
lcm,719,119,What is the LCM of 719 and 119 mod 1000?,561
gcd,789,137,What is the GCD of 789 and 137?,1
bitwise_xor,606,296,What is 606 XOR 296?,886
modulo,749,331,What is 749 mod 331?,87
bitwise_and,31,426,What is 31 AND 426?,10
gcd,418,991,What is the GCD of 418 and 991?,1
modulo,578,450,What is 578 mod 450?,128
multiplication,2,412,What is 2 times 412 mod 1000?,824
addition,522,924,What is 522 plus 924?,1446
square_mod,192,34,What is 192^2 mod 34?,8
lcm,55,196,What is the LCM of 55 and 196 mod 1000?,780
addition,107,347,What is 107 plus 347?,454
multiplication,671,729,What is 671 times 729 mod 1000?,159
lcm,448,905,What is the LCM of 448 and 905 mod 1000?,440
bitwise_xor,884,366,What is 884 XOR 366?,538
lcm,938,771,What is the LCM of 938 and 771 mod 1000?,198
addition,102,676,What is 102 plus 676?,778
modulo,820,386,What is 820 mod 386?,48
bitwise_and,916,170,What is 916 AND 170?,128
square_mod,745,324,What is 745^2 mod 324?,13
gcd,64,437,What is the GCD of 64 and 437?,1
bitwise_xor,552,699,What is 552 XOR 699?,147
bitwise_or,366,430,What is 366 OR 430?,494
bitwise_and,810,237,What is 810 AND 237?,40
square_mod,436,5,What is 436^2 mod 5?,1
bitwise_xor,408,682,What is 408 XOR 682?,818
addition,792,716,What is 792 plus 716?,1508
lcm,89,205,What is the LCM of 89 and 205 mod 1000?,245
bitwise_or,460,473,What is 460 OR 473?,477
lcm,572,713,What is the LCM of 572 and 713 mod 1000?,836
addition,936,783,What is 936 plus 783?,1719
bitwise_or,80,875,What is 80 OR 875?,891
bitwise_and,8,245,What is 8 AND 245?,0
square_mod,818,567,What is 818^2 mod 567?,64
division,562,337,What is 562 // 337?,1
bitwise_xor,68,863,What is 68 XOR 863?,795
bitwise_and,729,254,What is 729 AND 254?,216
bitwise_or,777,821,What is 777 OR 821?,829
lcm,20,897,What is the LCM of 20 and 897 mod 1000?,940
modulo,303,72,What is 303 mod 72?,15
gcd,308,502,What is the GCD of 308 and 502?,2
lcm,954,2,What is the LCM of 954 and 2 mod 1000?,954
lcm,844,489,What is the LCM of 844 and 489 mod 1000?,716
gcd,902,42,What is the GCD of 902 and 42?,2
square_mod,84,73,What is 84^2 mod 73?,48
square_mod,327,38,What is 327^2 mod 38?,35
gcd,709,989,What is the GCD of 709 and 989?,1
multiplication,711,341,What is 711 times 341 mod 1000?,451
addition,512,420,What is 512 plus 420?,932
division,649,201,What is 649 // 201?,3
gcd,652,191,What is the GCD of 652 and 191?,1
